State_Name,Crop_Year,Crop,Area,Production,Rain_fall
Arunachal Pradesh,2011,Maize,3560.0,4747.0,0
Arunachal Pradesh,2011,Rice,3489.0,2988.0,0
Arunachal Pradesh,2011,Small millets,1381.0,1104.0,0
Arunachal Pradesh,2011,Wheat,10.0,16.0,0
Arunachal Pradesh,2011,Dry chillies,22.0,35.0,0
Arunachal Pradesh,2011,Dry ginger,118.0,950.0,0
Arunachal Pradesh,2011,Oilseeds total,139.0,154.0,0
Arunachal Pradesh,2011,Potato,117.0,1043.0,0
Arunachal Pradesh,2011,Turmeric,20.0,51.0,0
Arunachal Pradesh,2012,Maize,3995.0,3885.0,0
Arunachal Pradesh,2012,Rice,3561.0,2996.0,0
Arunachal Pradesh,2012,Small millets,1381.0,1105.0,0
Arunachal Pradesh,2012,Wheat,13.0,20.0,0
Arunachal Pradesh,2012,Dry chillies,24.0,96.0,0
Arunachal Pradesh,2012,Dry ginger,120.0,980.0,0
Arunachal Pradesh,2012,Oilseeds total,139.0,139.0,0
Arunachal Pradesh,2012,Potato,120.0,1022.0,0
Arunachal Pradesh,2012,Turmeric,18.0,41.0,0
Arunachal Pradesh,2013,Maize,3595.0,3885.0,0
Arunachal Pradesh,2013,Rice,3561.0,2624.0,0
Arunachal Pradesh,2013,Small millets,1381.0,1105.0,0
Arunachal Pradesh,2013,Wheat,13.0,20.0,0
Arunachal Pradesh,2013,Dry chillies,24.0,95.0,0
Arunachal Pradesh,2013,Dry ginger,120.0,980.0,0
Arunachal Pradesh,2013,Oilseeds total,139.0,139.0,0
Arunachal Pradesh,2013,Potato,120.0,1022.0,0
Arunachal Pradesh,2013,Turmeric,18.0,40.0,0
Arunachal Pradesh,2014,Maize,1290.0,3197.0,0
Arunachal Pradesh,2014,Rice,3561.0,2394.0,0
Arunachal Pradesh,2014,Small millets,2367.0,2792.0,0
Arunachal Pradesh,2014,Dry chillies,28.0,57.0,0
Arunachal Pradesh,2014,Dry ginger,63.0,1270.0,0
Arunachal Pradesh,2014,Oilseeds total,254.0,246.0,0
Arunachal Pradesh,2014,Potato,33.0,138.0,0
Arunachal Pradesh,2014,Turmeric,27.0,613.0,0
Arunachal Pradesh,1997,Maize,1520.0,2725.0,0
Arunachal Pradesh,1997,Rice,11500.0,13800.0,0
Arunachal Pradesh,1997,Sesamum,424.0,313.0,0
Arunachal Pradesh,1997,Small millets,2000.0,1500.0,0
Arunachal Pradesh,1997,Soyabean,373.0,450.0,0
Arunachal Pradesh,1997,Sunflower,51.0,24.0,0
Arunachal Pradesh,1997,Groundnut,285.0,277.0,0
Arunachal Pradesh,1997,Rapeseed &Mustard,4205.0,3300.0,0
Arunachal Pradesh,1997,Sugarcane,230.0,4695.0,0
Arunachal Pradesh,1997,Wheat,240.0,260.0,0
Arunachal Pradesh,1997,Oilseeds total,5500.0,4450.0,0
Arunachal Pradesh,1998,Maize,1575.0,2450.0,0
Arunachal Pradesh,1998,Rice,11550.0,14316.0,0
Arunachal Pradesh,1998,Sesamum,430.0,244.0,0
Arunachal Pradesh,1998,Small millets,2000.0,1305.0,0
Arunachal Pradesh,1998,Soyabean,520.0,592.0,0
Arunachal Pradesh,1998,Sunflower,55.0,20.0,0
Arunachal Pradesh,1998,Groundnut,120.0,126.0,0
Arunachal Pradesh,1998,Rapeseed &Mustard,4215.0,3200.0,0
Arunachal Pradesh,1998,Wheat,225.0,230.0,0
Arunachal Pradesh,1998,Dry chillies,535.0,470.0,0
Arunachal Pradesh,1998,Dry ginger,150.0,795.0,0
Arunachal Pradesh,1998,Oilseeds total,5625.0,4295.0,0
Arunachal Pradesh,1998,Potato,350.0,1650.0,0
Arunachal Pradesh,1998,Sugarcane,240.0,4650.0,0
Arunachal Pradesh,1998,Turmeric,105.0,535.0,0
Arunachal Pradesh,1999,Maize,1620.0,2610.0,0
Arunachal Pradesh,1999,Rice,11600.0,13733.0,0
Arunachal Pradesh,1999,Small millets,2000.0,1375.0,0
Arunachal Pradesh,1999,Wheat,225.0,235.0,0
Arunachal Pradesh,1999,Dry chillies,540.0,485.0,0
Arunachal Pradesh,1999,Dry ginger,155.0,850.0,0
Arunachal Pradesh,1999,Oilseeds total,5675.0,4475.0,0
Arunachal Pradesh,1999,Potato,350.0,1775.0,0
Arunachal Pradesh,1999,Pulses total,1190.0,775.0,0
Arunachal Pradesh,1999,Sugarcane,255.0,4800.0,0
Arunachal Pradesh,1999,Turmeric,110.0,565.0,0
Arunachal Pradesh,2000,Maize,864.0,1322.0,0
Arunachal Pradesh,2000,Rice,11925.0,16387.0,0
Arunachal Pradesh,2000,Small millets,2000.0,1375.0,0
Arunachal Pradesh,2000,Wheat,225.0,235.0,0
Arunachal Pradesh,2000,Dry chillies,314.0,415.0,0
Arunachal Pradesh,2000,Dry ginger,437.0,2308.0,0
Arunachal Pradesh,2000,Oilseeds total,3484.0,2857.0,0
Arunachal Pradesh,2000,Potato,755.0,3238.0,0
Arunachal Pradesh,2000,Pulses total,293.0,238.0,0
Arunachal Pradesh,2000,Sugarcane,215.0,648.0,0
Arunachal Pradesh,2000,Turmeric,99.0,455.0,0
Arunachal Pradesh,2001,Maize,985.0,1473.0,0
Arunachal Pradesh,2001,Rice,11857.0,16250.0,0
Arunachal Pradesh,2001,Small millets,2010.0,1608.0,0
Arunachal Pradesh,2001,Wheat,200.0,220.0,0
Arunachal Pradesh,2001,Dry chillies,308.0,410.0,0
Arunachal Pradesh,2001,Dry ginger,477.0,2242.0,0
Arunachal Pradesh,2001,Oilseeds total,3509.0,2864.0,0
Arunachal Pradesh,2001,Potato,25.0,133.0,0
Arunachal Pradesh,2001,Pulses total,297.0,230.0,0
Arunachal Pradesh,2001,Sugarcane,220.0,605.0,0
Arunachal Pradesh,2001,Turmeric,95.0,444.0,0
Arunachal Pradesh,2002,Maize,915.0,1373.0,0
Arunachal Pradesh,2002,Rice,11860.0,16780.0,0
Arunachal Pradesh,2002,Small millets,2020.0,1616.0,0
Arunachal Pradesh,2002,Wheat,200.0,320.0,0
Arunachal Pradesh,2002,Dry chillies,320.0,480.0,0
Arunachal Pradesh,2002,Dry ginger,450.0,2475.0,0
Arunachal Pradesh,2002,Oilseeds total,3500.0,2887.0,0
Arunachal Pradesh,2002,Potato,50.0,290.0,0
Arunachal Pradesh,2002,Pulses total,300.0,305.0,0
Arunachal Pradesh,2002,Sugarcane,170.0,510.0,0
Arunachal Pradesh,2002,Turmeric,80.0,416.0,0
Arunachal Pradesh,2003,Maize,918.0,1432.0,0
Arunachal Pradesh,2003,Rice,11867.0,18508.0,0
Arunachal Pradesh,2003,Small millets,2000.0,1640.0,0
Arunachal Pradesh,2003,Wheat,205.0,392.0,0
Arunachal Pradesh,2003,Dry chillies,345.0,534.0,0
Arunachal Pradesh,2003,Dry ginger,425.0,2402.0,0
Arunachal Pradesh,2003,Oilseeds total,3522.0,2556.0,0
Arunachal Pradesh,2003,Potato,48.0,264.0,0
Arunachal Pradesh,2003,Pulses total,310.0,328.0,0
Arunachal Pradesh,2003,Sugarcane,145.0,975.0,0
Arunachal Pradesh,2003,Turmeric,65.0,335.0,0
Arunachal Pradesh,2004,Maize,920.0,1440.0,0
Arunachal Pradesh,2004,Rice,11885.0,18630.0,0
Arunachal Pradesh,2004,Small millets,2050.0,1640.0,0
Arunachal Pradesh,2004,Wheat,210.0,401.0,0
Arunachal Pradesh,2004,Dry chillies,400.0,415.0,0
Arunachal Pradesh,2004,Dry ginger,20.0,145.0,0
Arunachal Pradesh,2004,Oilseeds total,3540.0,2578.0,0
Arunachal Pradesh,2004,Potato,104.0,959.0,0
Arunachal Pradesh,2004,Sugarcane,100.0,1600.0,0
Arunachal Pradesh,2005,Maize,1460.0,2090.0,0
Arunachal Pradesh,2005,Rice,11905.0,18667.0,0
Arunachal Pradesh,2005,Small millets,2060.0,1668.0,0
Arunachal Pradesh,2005,Wheat,160.0,240.0,0
Arunachal Pradesh,2005,Dry chillies,719.0,982.0,0
Arunachal Pradesh,2005,Dry ginger,475.0,2707.0,0
Arunachal Pradesh,2005,Oilseeds total,3577.0,2647.0,0
Arunachal Pradesh,2005,Potato,60.0,390.0,0
Arunachal Pradesh,2005,Sugarcane,214.0,1498.0,0
Arunachal Pradesh,2005,Turmeric,80.0,408.0,0
Arunachal Pradesh,2006,Maize,762.0,1204.0,0
Arunachal Pradesh,2006,Rice,6191.0,10606.0,0
Arunachal Pradesh,2006,Small millets,1243.0,1007.0,0
Arunachal Pradesh,2006,Wheat,170.0,283.0,0
Arunachal Pradesh,2006,Dry chillies,329.0,472.0,0
Arunachal Pradesh,2006,Dry ginger,322.0,1752.0,0
Arunachal Pradesh,2006,Oilseeds total,790.0,758.0,0
Arunachal Pradesh,2006,Potato,68.0,456.0,0
Arunachal Pradesh,2006,Sugarcane,392.0,2779.0,0
Arunachal Pradesh,2006,Turmeric,51.0,259.0,0
Arunachal Pradesh,2007,Maize,1181.0,1759.0,0
